💞老家频道,#genre#
CCTV-5+咪咕,http://rihou.cc:555/tv/[mg]CCTV-5p
CCTV-06咪咕,http://rihou.cc:555/tv/[mg]CCTV-06
CCTV-07咪咕,http://rihou.cc:555/tv/[mg]CCTV-07
CCTV-08咪咕,http://rihou.cc:555/tv/[mg]CCTV-08
CCTV-09咪咕,http://rihou.cc:555/tv/[mg]CCTV-09
CCTV-10咪咕,http://rihou.cc:555/tv/[mg]CCTV-10
CCTV-11咪咕,http://rihou.cc:555/tv/[mg]CCTV-11
CCTV-12咪咕,http://rihou.cc:555/tv/[mg]CCTV-12
CCTV-13咪咕,http://rihou.cc:555/tv/[mg]CCTV-13
CCTV-14咪咕,http://rihou.cc:555/tv/[mg]CCTV-14
CCTV-15咪咕,http://rihou.cc:555/tv/[mg]CCTV-15
CCTV-16咪咕,http://rihou.cc:555/tv/[mg]CCTV-16
CCTV-17咪咕,http://rihou.cc:555/tv/[mg]CCTV-17
cct4欧洲咪咕,http://rihou.cc:555/tv/[mg]cct4欧洲
cct4美洲咪咕,http://rihou.cc:555/tv/[mg]cct4美洲
CGTN-西咪咕,http://rihou.cc:555/tv/[mg]CGTN-西
CGTN-阿咪咕,http://rihou.cc:555/tv/[mg]CGTN-阿
CGTN-法咪咕,http://rihou.cc:555/tv/[mg]CGTN-法
北京卫视咪咕,http://rihou.cc:555/tv/[mg]北京卫视
东方卫视咪咕,http://rihou.cc:555/tv/[mg]东方卫视
浙江卫视咪咕,http://rihou.cc:555/tv/[mg]浙江卫视
江苏卫视咪咕,http://rihou.cc:555/tv/[mg]江苏卫视
湖南卫视咪咕,http://rihou.cc:555/tv/[mg]湖南卫视
广东卫视咪咕,http://rihou.cc:555/tv/[mg]广东卫视
深圳卫视咪咕,http://rihou.cc:555/tv/[mg]深圳卫视
山东卫视咪咕,http://rihou.cc:555/tv/[mg]山东卫视
河南卫视咪咕,http://rihou.cc:555/tv/[mg]河南卫视
江西卫视咪咕,http://rihou.cc:555/tv/[mg]江西卫视
湖北卫视咪咕,http://rihou.cc:555/tv/[mg]湖北卫视
海南卫视咪咕,http://rihou.cc:555/tv/[mg]海南卫视
陕西卫视咪咕,http://rihou.cc:555/tv/[mg]陕西卫视
兵团卫视咪咕,http://rihou.cc:555/tv/[mg]兵团卫视
黑龙江视咪咕,http://rihou.cc:555/tv/[mg]黑龙江视
CCTV-01咪咕,http://go.bkpcp.top/mg/cctv1
CCTV-02咪咕,http://go.bkpcp.top/mg/cctv2
CCTV-03咪咕,http://go.bkpcp.top/mg/cctv3
CCTV-04咪咕,http://go.bkpcp.top/mg/cctv4
CCTV-05咪咕,http://go.bkpcp.top/mg/cctv5
CCTV-5+咪咕,http://go.bkpcp.top/mg/cctv5p
CCTV-06咪咕,http://go.bkpcp.top/mg/cctv6
CCTV-07咪咕,http://go.bkpcp.top/mg/cctv7
CCTV-08咪咕,http://go.bkpcp.top/mg/cctv8
CCTV-09咪咕,http://go.bkpcp.top/mg/cctv9
CCTV-10咪咕,http://go.bkpcp.top/mg/cctv10
CCTV-11咪咕,http://go.bkpcp.top/mg/cctv11
CCTV-12咪咕,http://go.bkpcp.top/mg/cctv12
CCTV-13咪咕,http://go.bkpcp.top/mg/cctv13
CCTV-14咪咕,http://go.bkpcp.top/mg/cctv14
CCTV-15咪咕,http://go.bkpcp.top/mg/cctv15
CCTV-16咪咕,http://go.bkpcp.top/mg/cctv16
CCTV-17咪咕,http://go.bkpcp.top/mg/cctv17
cct4欧洲咪咕,http://go.bkpcp.top/mg/cctv4o
cct4美洲咪咕,http://go.bkpcp.top/mg/cctv4m
CGTN-西咪咕,http://go.bkpcp.top/mg/cgtne
CGTN-阿咪咕,http://go.bkpcp.top/mg/cgtna
CGTN-法咪咕,http://go.bkpcp.top/mg/cgtnf
北京卫视咪咕,http://go.bkpcp.top/mg/bjws
东方卫视咪咕,http://go.bkpcp.top/mg/dfws
浙江卫视咪咕,http://go.bkpcp.top/mg/zjws
江苏卫视咪咕,http://go.bkpcp.top/mg/jsws
湖南卫视咪咕,http://go.bkpcp.top/mg/hunws
广东卫视咪咕,http://go.bkpcp.top/mg/gdws
深圳卫视咪4k,http://go.bkpcp.top/mg/szws
山东卫视咪咕,http://go.bkpcp.top/mg/sdws
河南卫视咪咕,http://go.bkpcp.top/mg/hnws
江西卫视咪咕,http://go.bkpcp.top/mg/jxws
湖北卫视咪咕,http://go.bkpcp.top/mg/hubws
海南卫视咪咕,http://go.bkpcp.top/mg/hinws
陕西卫视咪咕,http://go.bkpcp.top/mg/sxws
兵团卫视咪咕,http://go.bkpcp.top/mg/btws
黑龙江视咪咕,http://go.bkpcp.top/mg/hljws
CCTV-01咪咕,http://j.s.bkpcp.top/jj/cctv1
CCTV-02咪咕,http://j.s.bkpcp.top/jj/cctv2
CCTV-03咪咕,http://j.s.bkpcp.top/jj/cctv3
CCTV-04咪咕,http://j.s.bkpcp.top/jj/cctv4
CCTV-05咪咕,http://j.s.bkpcp.top/jj/cctv5
CCTV-5+咪咕,http://j.s.bkpcp.top/jj/cctv5p
CCTV-06咪咕,http://j.s.bkpcp.top/jj/cctv6
CCTV-07咪咕,http://j.s.bkpcp.top/jj/cctv7
CCTV-08咪咕,http://j.s.bkpcp.top/jj/cctv8
CCTV-09咪咕,http://j.s.bkpcp.top/jj/cctv9
CCTV-10咪咕,http://j.s.bkpcp.top/jj/cctv10
CCTV-11咪咕,http://j.s.bkpcp.top/jj/cctv11
CCTV-12咪咕,http://j.s.bkpcp.top/jj/cctv12
CCTV-13咪咕,http://j.s.bkpcp.top/jj/cctv13
CCTV-14咪咕,http://j.s.bkpcp.top/jj/cctv14
CCTV-15咪咕,http://j.s.bkpcp.top/jj/cctv15
CCTV-16咪咕,http://j.s.bkpcp.top/jj/cctv16
CCTV-17咪咕,http://j.s.bkpcp.top/jj/cctv17
cct4欧洲咪咕,http://j.s.bkpcp.top/jj/cctv4o
cct4美洲咪咕,http://j.s.bkpcp.top/jj/cctv4m
CGTN-西咪咕,http://j.s.bkpcp.top/jj/cgtne
CGTN-阿咪咕,http://j.s.bkpcp.top/jj/cgtna
CGTN-法咪咕,http://j.s.bkpcp.top/jj/cgtnf
北京卫视咪咕,http://j.s.bkpcp.top/jj/bjws
东方卫视咪咕,http://j.s.bkpcp.top/jj/dfws
浙江卫视咪咕,http://j.s.bkpcp.top/jj/zjws
江苏卫视咪咕,http://j.s.bkpcp.top/jj/jsws
湖南卫视咪咕,http://j.s.bkpcp.top/jj/hunws
广东卫视咪咕,http://j.s.bkpcp.top/jj/gdws
深圳卫视咪4k,http://j.s.bkpcp.top/jj/szws
山东卫视咪咕,http://j.s.bkpcp.top/jj/sdws
河南卫视咪咕,http://j.s.bkpcp.top/jj/hnws
江西卫视咪咕,http://j.s.bkpcp.top/jj/jxws
湖北卫视咪咕,http://j.s.bkpcp.top/jj/hubws
海南卫视咪咕,http://j.s.bkpcp.top/jj/hinws
陕西卫视咪咕,http://j.s.bkpcp.top/jj/sxws
兵团卫视咪咕,http://j.s.bkpcp.top/jj/btws
黑龙江视咪咕,http://j.s.bkpcp.top/jj/hljws
CCTV-01咪咕,http://t.061899.xyz/tl/tl.php?id=cctv1
CCTV-02咪咕,http://t.061899.xyz/tl/tl.php?id=cctv2
CCTV-03咪咕,http://t.061899.xyz/tl/tl.php?id=cctv3
CCTV-04咪咕,http://t.061899.xyz/tl/tl.php?id=cctv4
CCTV-05咪咕,http://t.061899.xyz/tl/tl.php?id=cctv5
CCTV-5+咪咕,http://t.061899.xyz/tl/tl.php?id=cctv5p
CCTV-06咪咕,http://t.061899.xyz/tl/tl.php?id=cctv6
CCTV-07咪咕,http://t.061899.xyz/tl/tl.php?id=cctv7
CCTV-08咪咕,http://t.061899.xyz/tl/tl.php?id=cctv8
CCTV-09咪咕,http://t.061899.xyz/tl/tl.php?id=cctv9
CCTV-10咪咕,http://t.061899.xyz/tl/tl.php?id=cctv10
CCTV-11咪咕,http://t.061899.xyz/tl/tl.php?id=cctv11
CCTV-12咪咕,http://t.061899.xyz/tl/tl.php?id=cctv12
CCTV-13咪咕,http://t.061899.xyz/tl/tl.php?id=cctv13
CCTV-14咪咕,http://t.061899.xyz/tl/tl.php?id=cctv14
CCTV-15咪咕,http://t.061899.xyz/tl/tl.php?id=cctv15
CCTV-16咪咕,http://t.061899.xyz/tl/tl.php?id=cctv16
CCTV-17咪咕,http://t.061899.xyz/tl/tl.php?id=cctv17
北京卫视咪咕,http://t.061899.xyz/tl/tl.php?id=bjws
东方卫视咪咕,http://t.061899.xyz/tl/tl.php?id=dfws
浙江卫视咪咕,http://t.061899.xyz/tl/tl.php?id=zjws
江苏卫视咪咕,http://t.061899.xyz/tl/tl.php?id=jsws
湖南卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hunws
广东卫视咪咕,http://t.061899.xyz/tl/tl.php?id=gdws
深圳卫视咪咕,http://t.061899.xyz/tl/tl.php?id=szws
天津卫视咪咕,http://t.061899.xyz/tl/tl.php?id=tjws
安徽卫视咪咕,http://t.061899.xyz/tl/tl.php?id=ahws
山东卫视咪咕,http://t.061899.xyz/tl/tl.php?id=sdws
山西卫视咪咕,http://t.061899.xyz/tl/tl.php?id=sxiws
辽宁卫视咪咕,http://t.061899.xyz/tl/tl.php?id=lnws
河北卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hbws
河南卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hnws
江西卫视咪咕,http://t.061899.xyz/tl/tl.php?id=jxws
四川卫视咪咕,http://t.061899.xyz/tl/tl.php?id=scws
重庆卫视咪咕,http://t.061899.xyz/tl/tl.php?id=cqws
贵州卫视咪咕,http://t.061899.xyz/tl/tl.php?id=gzws
湖北卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hubws
广西卫视咪咕,http://t.061899.xyz/tl/tl.php?id=gxws
东南卫视咪咕,http://t.061899.xyz/tl/tl.php?id=dnws
海南卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hinws
青海卫视咪咕,http://t.061899.xyz/tl/tl.php?id=qhws
宁夏卫视咪咕,http://t.061899.xyz/tl/tl.php?id=nxws
陕西卫视咪咕,http://t.061899.xyz/tl/tl.php?id=sxws
甘肃卫视咪咕,http://t.061899.xyz/tl/tl.php?id=gsws
新疆卫视咪咕,http://t.061899.xyz/tl/tl.php?id=xjws
吉林卫视咪咕,http://t.061899.xyz/tl/tl.php?id=jlws
西藏卫视咪咕,http://t.061899.xyz/tl/tl.php?id=xzws
内蒙古视咪咕,http://t.061899.xyz/tl/tl.php?id=nmgws
黑龙江视咪咕,http://t.061899.xyz/tl/tl.php?id=hljws

💞央卫高码,#genre#
CCTV-01高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1
CCTV-02高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV-03高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV-04高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV-05高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5
CCTV-5+高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p
CCTV-06高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6
CCTV-07高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7
CCTV-08高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8
CCTV-09高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9
CCTV-10高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
CCTV-11高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11
CCTV-12高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12
CCTV-13高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13
CCTV-14高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14
CCTV-15高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15
CCTV-16高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16
CCTV-17高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17
北京卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=bjws
东方卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dfws
浙江卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=zjws
江苏卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jsws
湖南卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hunws
广东卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gdws
深圳卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=szws
天津卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=tjws
安徽卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=ahws
山东卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sdws
辽宁卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=lnws
河北卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hbws
河南卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hnws
江西卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jxws
四川卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=scws
重庆卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cqws
贵州卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gzws
湖北卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hubws
广西卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gxws
东南卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dnws
海南卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hinws
青海卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=qhws
吉林卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jlws
黑龙江视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hljws


💞大强直播,#genre#

CCTV1,http://1.31.14.70:54321/hls/2/index.m3u8
CCTV2,http://1.31.14.70:54321/hls/4/index.m3u8
CCTV3,http://1.31.14.70:54321/hls/6/index.m3u8
CCTV4,http://1.31.14.70:54321/hls/34/index.m3u8
CCTV4,http://1.31.14.70:54321/hls/13/index.m3u8
CCTV5,http://1.31.14.70:54321/hls/7/index.m3u8
CCTV6,http://1.31.14.70:54321/hls/8/index.m3u8
CCTV7,http://1.31.14.70:54321/hls/9/index.m3u8
CCTV8,http://1.31.14.70:54321/hls/14/index.m3u8
CCTV9,http://1.31.14.70:54321/hls/10/index.m3u8
CCTV10,http://1.31.14.70:54321/hls/11/index.m3u8
CCTV11,http://1.31.14.70:54321/hls/16/index.m3u8
CCTV12,http://1.31.14.70:54321/hls/12/index.m3u8
CCTV13,http://1.31.14.70:54321/hls/19/index.m3u8
CCTV14,http://1.31.14.70:54321/hls/22/index.m3u8
浙江卫视,http://1.31.14.70:54321/hls/1/index.m3u8
江苏卫视,http://1.31.14.70:54321/hls/3/index.m3u8
吉林卫视,http://1.31.14.70:54321/hls/5/index.m3u8
黑龙江卫视,http://1.31.14.70:54321/hls/15/index.m3u8
河北卫视,http://1.31.14.70:54321/hls/18/index.m3u8
山西卫视,http://1.31.14.70:54321/hls/23/index.m3u8
辽宁卫视,http://1.31.14.70:54321/hls/24/index.m3u8
北京卫视,http://1.31.14.70:54321/hls/25/index.m3u8
天津卫视,http://1.31.14.70:54321/hls/26/index.m3u8
东方卫视,http://1.31.14.70:54321/hls/27/index.m3u8
广东卫视,http://1.31.14.70:54321/hls/28/index.m3u8
安徽卫视,http://1.31.14.70:54321/hls/29/index.m3u8
宁夏卫视,http://1.31.14.70:54321/hls/30/index.m3u8
新疆卫视,http://1.31.14.70:54321/hls/31/index.m3u8
山东卫视,http://1.31.14.70:54321/hls/32/index.m3u8
贵州卫视,http://1.31.14.70:54321/hls/33/index.m3u8
湖南卫视,http://1.31.14.70:54321/hls/35/index.m3u8
广西卫视,http://1.31.14.70:54321/hls/36/index.m3u8
云南卫视,http://1.31.14.70:54321/hls/37/index.m3u8
湖北卫视,http://1.31.14.70:54321/hls/39/index.m3u8
深圳卫视,http://1.31.14.70:54321/hls/40/index.m3u8
四川卫视,http://1.31.14.70:54321/hls/41/index.m3u8
江西卫视,http://1.31.14.70:54321/hls/42/index.m3u8
青海卫视,http://1.31.14.70:54321/hls/43/index.m3u8
河南卫视,http://1.31.14.70:54321/hls/44/index.m3u8
甘肃卫视,http://1.31.14.70:54321/hls/45/index.m3u8
陕西卫视,http://1.31.14.70:54321/hls/46/index.m3u8
内蒙古卫视,http://1.31.14.70:54321/hls/55/index.m3u8
金鹰卡通,http://1.31.14.70:54321/hls/20/index.m3u8
北京少儿,http://1.31.14.70:54321/hls/38/index.m3u8
影视娱乐,http://1.31.14.70:54321/hls/56/index.m3u8
第一剧场,http://1.31.14.70:54321/hls/59/index.m3u8

💞大强央卫,#genre#
CCTV-1 综合,http://1.24.39.180:9003/hls/1/index.m3u8
CCTV-2 财经,http://1.24.39.180:9003/hls/2/index.m3u8
CCTV-3 综艺,http://1.24.39.180:9003/hls/3/index.m3u8
CCTV-4 中文国际,http://1.24.39.180:9003/hls/4/index.m3u8
CCTV-5 体育,http://1.24.39.180:9003/hls/5/index.m3u8
CCTV-5+ 体育赛事,http://1.24.39.180:9003/hls/5+/index.m3u8
CCTV-6 电影,http://1.24.39.180:9003/hls/6/index.m3u8
CCTV-7 国防军事,http://1.24.39.180:9003/hls/7/index.m3u8
CCTV-8 电视剧,http://1.24.39.180:9003/hls/8/index.m3u8
CCTV-9 纪录,http://1.24.39.180:9003/hls/9/index.m3u8
CCTV-10 科教,http://1.24.39.180:9003/hls/10/index.m3u8
CCTV-11 戏曲,http://1.24.39.180:9003/hls/11/index.m3u8
CCTV-12 社会与法,http://1.24.39.180:9003/hls/12/index.m3u8
CCTV-13 新闻,http://1.24.39.180:9003/hls/13/index.m3u8
CCTV-14 少儿,http://1.24.39.180:9003/hls/14/index.m3u8
CCTV-15 音乐,http://1.24.39.180:9003/hls/15/index.m3u8
CCTV-16 奥林匹克,http://1.24.39.180:9003/hls/60/index.m3u8
CCTV-17 农业农村,http://1.24.39.180:9003/hls/61/index.m3u8

湖南卫视,http://1.24.39.180:9003/hls/28/index.m3u8
浙江卫视,http://1.24.39.180:9003/hls/29/index.m3u8
江苏卫视,http://1.24.39.180:9003/hls/30/index.m3u8
安徽卫视,http://1.24.39.180:9003/hls/31/index.m3u8
贵州卫视,http://1.24.39.180:9003/hls/32/index.m3u8
天津卫视,http://1.24.39.180:9003/hls/33/index.m3u8
深圳卫视,http://1.24.39.180:9003/hls/34/index.m3u8
山东卫视,http://1.24.39.180:9003/hls/35/index.m3u8
云南卫视,http://1.24.39.180:9003/hls/36/index.m3u8
河南卫视,http://1.24.39.180:9003/hls/37/index.m3u8
黑龙江卫视,http://1.24.39.180:9003/hls/38/index.m3u8
四川卫视,http://1.24.39.180:9003/hls/39/index.m3u8
湖北卫视,http://1.24.39.180:9003/hls/43/index.m3u8
东方卫视,http://1.24.39.180:9003/hls/44/index.m3u8
东南卫视,http://1.24.39.180:9003/hls/46/index.m3u8
河北卫视,http://1.24.39.180:9003/hls/47/index.m3u8
广东卫视,http://1.24.39.180:9003/hls/48/index.m3u8
内蒙古卫视,http://1.24.39.180:9003/hls/17/index.m3u8
NNTV1,http://1.24.39.180:9003/hls/16/index.m3u8
NNTV2,http://1.24.39.180:9003/hls/18/index.m3u8
NNTV新闻综合,http://1.24.39.180:9003/hls/19/index.m3u8
NNTV经济生活,http://1.24.39.180:9003/hls/20/index.m3u8
NNTV文体娱乐,http://1.24.39.180:9003/hls/21/index.m3u8
NNTV农牧频道,http://1.24.39.180:9003/hls/22/index.m3u8
NNTV少儿频道,http://1.24.39.180:9003/hls/23/index.m3u8
经济生活,http://1.24.39.180:9003/hls/24/index.m3u8
乌兰察布新闻综合,http://1.24.39.180:9003/hls/26/index.m3u8
NNTV内蒙古卫视,http://1.24.39.180:9003/hls/27/index.m3u8


💞本地直播,#genre#
CCTV-1,http://69.30.246.194/live/cctv1.m3u8
CCTV-1,http://124.116.183.146:9901/tsfile/live/0001_1.m3u8
CCTV-1,http://27.41.245.32:801/hls/1/index.m3u8
CCTV-1,http://112.123.206.32:808/hls/1/index.m3u8
CCTV-1,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://120.238.94.10:9901/tsfile/live/1018_1.m3u8
CCTV-1,http://182.150.23.74:808/hls/1/index.m3u8
CCTV-1,http://112.46.85.60:8009/hls/501/index.m3u8
CCTV-1,http://218.3.138.25:1111/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://69.30.246.194/live/cctv2.m3u8
CCTV-2,http://27.41.245.32:801/hls/2/index.m3u8
CCTV-2,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://112.123.206.32:808/hls/2/index.m3u8
CCTV-2,http://120.238.94.10:9901/tsfile/live/1019_1.m3u8
CCTV-2,http://182.150.23.74:808/hls/2/index.m3u8
CCTV-2,http://112.46.85.60:8009/hls/502/index.m3u8
CCTV-2,http://218.3.138.25:1111/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://218.13.170.98:9901/tsfile/live/0002_1.m3u8
CCTV-3,http://69.30.246.194/live/cctv3.m3u8
CCTV-3,http://39.152.103.17:8089/tsfile/live/1002_1.m3u8
CCTV-3,http://222.169.85.8:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://120.238.94.10:9901/tsfile/live/1020_1.m3u8
CCTV-3,http://124.116.183.146:9901/tsfile/live/0003_1.m3u8
CCTV-3,http://182.150.23.74:808/hls/3/index.m3u8
CCTV-3,http://112.46.85.60:8009/hls/3/index.m3u8
CCTV-3,http://218.3.138.25:1111/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://124.116.183.146:9901/tsfile/live/0004_1.m3u8
CCTV-4,http://120.211.62.180:8000/hls/4/index.m3u8
CCTV-4,http://69.30.246.194/live/cctv4.m3u8
CCTV-4,http://222.169.85.8:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://120.238.94.10:9901/tsfile/live/1021_1.m3u8
CCTV-4,http://182.150.23.74:808/hls/4/index.m3u8
CCTV-4,http://112.46.85.60:8009/hls/4/index.m3u8
CCTV-4,http://123.129.70.178:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://221.226.51.220:50081/newlive/live/hls/4/live.m3u8
CCTV-5,http://69.30.246.194/live/cctv5.m3u8
CCTV-5,http://27.41.245.32:801/hls/5/index.m3u8
CCTV-5,http://222.169.85.8:9901/tsfile/live/0005_1.m3u8
CCTV-5,http://120.238.94.10:9901/tsfile/live/1022_1.m3u8
CCTV-5,http://120.238.94.82:9901/tsfile/live/1030_1.m3u8
CCTV-5,http://182.150.23.74:808/hls/5/index.m3u8
CCTV-5,http://112.46.85.60:8009/hls/503/index.m3u8
CCTV-5+,http://69.30.246.194/live/cctv5+.m3u8
CCTV-5+,http://27.41.245.32:801/hls/5+/index.m3u8
CCTV-5+,http://120.238.94.10:9901/tsfile/live/1023_1.m3u8
CCTV-5+,http://222.169.85.8:9901/tsfile/live/0116_1.m3u8
CCTV-5+,http://182.150.23.74:808/hls/16/index.m3u8
CCTV-5+,http://123.129.70.178:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://61.136.172.236:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://69.30.246.194/live/cctv6.m3u8
CCTV-6,http://27.41.245.32:801/hls/6/index.m3u8
CCTV-6,http://182.150.23.74:808/hls/6/index.m3u8
CCTV-6,http://222.169.85.8:9901/tsfile/live/0006_1.m3u8
CCTV-6,http://218.3.138.25:1111/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://123.129.70.178:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://61.136.172.236:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://69.30.246.194/live/cctv7.m3u8
